,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,
80,Frank Sanders,ARI,WR,27,16,16,0,0,0,0,0,0,0,,0,116,54,749,13.87,6,0,,6,,,111,164.9,167.9,137.9,,30,78,
81,Drew Bledsoe,NWE,QB,28,16,16,312,531,3291,17,13,47,158,3.36,2,0,0,0,,0,9,4,2,,,201,193.4,216.4,206.4,,12,,
82,Brian Griese*,DEN,QB,25,10,10,216,336,2688,19,4,29,102,3.52,1,0,0,0,,0,5,3,1,,1,194,187.7,200.7,191.7,,13,,
83,Vinny Testaverde,NYJ,QB,37,16,16,328,590,3732,21,25,25,32,1.28,0,0,0,0,,0,7,4,0,,2,192,182.5,214.5,207.5,,14,,
84,Kurt Warner*,STL,QB,29,11,11,235,347,3429,21,18,18,17,0.94,0,0,0,0,,0,4,1,0,,2,191,188.9,210.9,206.9,,15,,
85,Steve McNair*,TEN,QB,27,16,15,248,396,2847,15,13,72,403,5.60,0,0,0,0,,0,12,4,0,,,188,180.2,203.2,193.2,,16,,
86,Kordell Stewart,PIT,QB,28,16,11,151,289,1860,11,8,78,436,5.59,7,0,0,0,,0,8,3,7,,,188,182.0,199.0,190.0,,17,,
87,Jon Kitna,SEA,QB,28,15,12,259,418,2658,18,19,48,127,2.65,1,0,0,0,,0,17,6,1,,,159,147.0,178.0,166.0,,18,,
88,Jay Fiedler,MIA,QB,29,15,15,204,357,2402,14,14,54,267,4.94,1,0,0,0,,0,2,2,1,,,157,152.8,174.8,166.8,,19,,
89,Rob Johnson,BUF,QB,27,12,11,175,306,2125,12,7,42,307,7.31,1,1,1,-6,-6.00,0,4,2,1,,,155,152.1,167.1,158.6,,20,,
90,Charlie Batch,DET,QB,26,15,15,221,412,2489,13,15,44,199,4.52,2,0,0,0,,0,6,3,2,,,153,147.5,171.5,162.5,,21,,
91,Tony Richardson,KAN,RB,29,16,16,0,0,0,0,0,147,697,4.74,3,75,58,468,8.07,3,3,2,6,,,153,206.5,214.5,177.5,,24,,
92,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
93,Trent Green,STL,QB,30,8,5,145,240,2063,16,5,20,69,3.45,1,0,0,0,,0,3,2,1,,,149,145.4,155.4,150.4,,22,,
94,Jake Plummer,ARI,QB,26,14,14,270,475,2946,13,21,37,183,4.95,0,0,0,0,,0,8,3,0,,,146,140.1,170.1,161.1,,23,,
95,Jeff Blake,NOR,QB,30,11,11,184,302,2025,13,9,57,243,4.26,1,0,0,0,,0,7,3,1,,,145,139.3,157.3,148.3,,24,,
96,Kevin Faulk,NWE,RB,24,16,9,0,0,0,0,0,164,570,3.48,4,68,51,465,9.12,1,6,4,5,1,,134,178.5,188.5,153.0,,25,,
97,Cade McNown,CHI,QB,23,10,9,154,280,1646,8,9,50,326,6.52,3,0,0,0,,0,8,3,3,,,130,124.4,142.4,133.4,,25,,
98,Brad Johnson,WAS,QB,32,12,11,228,365,2505,11,15,22,58,2.64,1,0,0,0,,0,5,3,1,,,126,120.0,141.0,135.0,,26,,
99,Tim Biakabutuka,CAR,RB,26,12,11,0,0,0,0,0,173,627,3.62,2,58,34,341,10.03,2,4,3,4,,,121,148.8,157.8,131.8,,26,,
100,Travis Prentice,CLE,RB,24,16,11,0,0,0,0,0,173,512,2.96,7,43,37,191,5.16,1,2,1,8,,,118,153.3,160.3,134.8,,27,,
101,Doug Flutie,BUF,QB,38,11,5,132,231,1700,8,3,36,161,4.47,1,0,0,0,,0,5,2,1,,,116,112.1,123.1,115.1,,27,,
102,Aaron Brooks,NOR,QB,24,8,5,113,194,1514,9,6,41,170,4.15,2,0,0,0,,0,4,1,2,,,114,111.6,124.6,117.6,,28,,
103,Chris Chandler,ATL,QB,35,14,13,192,331,2236,10,12,21,60,2.86,0,1,1,-4,-4.00,0,7,1,0,,,111,110.0,126.0,121.5,,29,,
104,Donald Hayes,CAR,WR,25,15,15,0,0,0,0,0,0,0,,0,112,66,926,14.03,3,1,1,3,,,111,174.6,178.6,141.6,,31,,
105,Peter Warrick,CIN,WR,23,16,16,0,0,0,0,0,16,148,9.25,2,126,51,592,11.61,4,2,1,7,,,110,165.0,172.0,139.5,,32,,
106,Ron Dayne,NYG,RB,22,16,4,0,0,0,0,0,228,770,3.38,5,3,3,11,3.67,0,1,1,5,,,108,109.1,113.1,107.6,,28,,
107,Charles Johnson,PHI,WR,28,16,16,0,0,0,0,0,5,18,3.60,0,100,56,642,11.46,7,0,,7,,,108,164.0,167.0,136.0,,33,,
108,Darrell Jackson,SEA,WR,22,16,9,0,0,0,0,0,1,-1,-1.00,0,93,53,713,13.45,6,2,2,6,,,107,156.2,161.2,129.7,,34,,
109,Richie Anderson *,NYJ,RB,29,16,10,0,0,0,0,0,27,63,2.33,0,125,88,853,9.69,2,2,2,2,,,106,187.6,192.6,143.6,,29,,
110,James McKnight,DAL,WR,28,16,15,0,0,0,0,0,0,0,,0,106,52,926,17.81,2,1,1,2,,,105,154.6,158.6,128.6,,36,,
111,Marcus Robinson,CHI,WR,25,11,11,0,0,0,0,0,1,9,9.00,0,102,55,738,13.42,5,1,1,5,,,105,157.7,161.7,130.2,,35,,
112,Curtis Conway,SDG,WR,29,14,14,0,0,0,0,0,3,31,10.33,0,99,53,712,13.43,5,0,,5,,,104,157.3,160.3,130.8,,37,,
113,Sean Dawkins,SEA,WR,29,16,16,0,0,0,0,0,0,0,,0,102,63,731,11.60,5,0,,5,,,103,166.1,169.1,134.6,,38,,
114,Gus Frerotte,DEN,QB,29,10,6,138,232,1776,9,8,22,64,2.91,1,0,0,0,,0,5,3,1,,,103,97.4,111.4,105.4,,30,,
115,Johnnie Morton,DET,WR,29,16,16,0,0,0,0,0,4,25,6.25,0,116,61,788,12.92,3,1,1,3,1,,101,160.3,164.3,129.8,,39,,
116,Shawn Bryson,BUF,RB,24,16,7,0,0,0,0,0,161,591,3.67,0,46,32,271,8.47,2,1,,2,1,,100,132.2,138.2,116.2,,30,,
117,Dedric Ward,NYJ,WR,26,16,16,0,0,0,0,0,4,23,5.75,0,119,54,801,14.83,3,1,1,3,,,100,152.4,156.4,125.4,,40,,
118,Az-Zahir Hakim,STL,WR,23,16,4,0,0,0,0,0,5,19,3.80,0,81,53,734,13.85,4,7,5,5,,,99,148.3,156.3,121.8,,41,,
119,Terrell Fletcher,SDG,RB,27,16,6,0,0,0,0,0,116,384,3.31,3,71,48,355,7.40,1,2,2,4,,,98,141.9,149.9,117.9,,31,,
120,Terance Mathis,ATL,WR,33,16,16,0,0,0,0,0,1,-5,-5.00,0,124,57,679,11.91,5,1,1,5,,,97,152.4,156.4,123.9,,42,,
121,Sammy Morris,BUF,RB,23,12,8,0,0,0,0,0,93,341,3.67,5,48,37,268,7.24,1,2,1,6,,,97,131.9,138.9,113.4,,32,,
122,Peerless Price,BUF,WR,24,16,16,0,0,0,0,0,2,32,16.00,0,106,52,762,14.65,3,4,3,3,,,97,143.4,149.4,117.4,,43,,
123,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
124,Andre Rison,OAK,WR,33,16,0,0,0,0,0,0,0,0,,0,70,41,606,14.78,6,0,,6,,,97,137.6,140.6,117.1,,44,,
125,Hines Ward,PIT,WR,24,16,15,0,0,0,0,0,4,53,13.25,0,83,48,672,14.00,4,2,1,4,,,97,142.5,146.5,118.5,,45,,
126,Qadry Ismail,BAL,WR,30,15,13,0,0,0,0,0,0,0,,0,95,49,655,13.37,5,0,,5,,,96,144.5,147.5,120.0,,46,,
127,Albert Connell,WAS,WR,26,16,12,0,0,0,0,0,0,0,,0,102,39,762,19.54,3,0,,3,,,94,133.2,136.2,113.7,,48,,
128,Shawn Jefferson,ATL,WR,31,16,14,0,0,0,0,0,1,1,1.00,0,104,60,822,13.70,2,1,,2,,,94,154.3,157.3,124.3,,47,,
129,Trent Dilfer,BAL,QB,28,11,8,134,226,1502,12,11,20,75,3.75,0,1,1,-1,-1.00,0,8,2,0,,,93,90.5,106.5,101.0,,31,,
130,Priest Holmes,BAL,RB,27,16,2,0,0,0,0,0,137,588,4.29,2,46,32,221,6.91,0,2,1,2,,,93,122.9,129.9,106.9,,33,,
131,Bobby Shaw,PIT,WR,25,16,0,0,0,0,0,0,0,0,,0,69,40,672,16.80,4,2,2,4,,,91,127.2,132.2,107.2,,49,,
132,Ryan Leaf,SDG,QB,24,11,9,161,322,1883,11,18,28,54,1.93,0,0,0,0,,0,12,6,0,,,89,76.7,103.7,94.7,,32,,
133,Larry Centers,WAS,RB,32,15,6,0,0,0,0,0,19,103,5.42,0,93,81,600,7.41,3,1,,3,,,88,169.3,175.3,128.8,,34,,
134,Willie Jackson,NOR,WR,29,15,7,0,0,0,0,0,0,0,,0,80,37,523,14.14,6,2,1,6,,,88,123.3,127.3,104.8,,50,,
135,Tony Banks,BAL,QB,27,11,8,150,274,1578,8,8,19,57,3.00,0,0,0,0,,0,5,,0,,1,87,86.8,97.8,94.8,,33,,
136,Sylvester Morris,KAN,WR,23,15,14,1,1,31,0,0,0,0,,0,105,48,678,14.13,3,3,3,3,,,87,129.0,135.0,105.0,,51,,
137,Mike Alstott *,TAM,RB,27,13,13,0,1,0,0,0,131,465,3.55,5,19,13,93,7.15,0,3,2,5,,,86,94.8,99.8,88.3,,35,,
138,Irving Fryar,WAS,WR,38,14,6,0,0,0,0,0,2,16,8.00,0,76,41,548,13.37,5,0,,5,,,86,127.4,130.4,106.9,,52,,
139,James Thrash,WAS,WR,25,16,9,0,0,0,0,0,10,82,8.20,0,74,50,653,13.06,2,1,1,2,,,86,133.5,137.5,108.5,,53,,
140,Darnell Autry,PHI,RB,24,11,7,0,0,0,0,0,112,334,2.98,3,37,24,275,11.46,1,2,1,4,,,85,106.9,113.9,94.9,,36,,
141,Jacquez Green,TAM,WR,24,16,16,0,0,0,0,0,5,13,2.60,0,103,51,773,15.16,1,0,,1,,,85,135.6,138.6,110.1,,54,,
142,Jerome Pathon,IND,WR,25,16,10,0,0,0,0,0,1,3,3.00,0,89,50,646,12.92,3,0,,3,,,83,132.9,135.9,107.9,,55,,
143,Jeremy McDaniel,BUF,WR,24,16,6,0,0,0,0,0,0,0,,0,69,43,697,16.21,2,0,,2,,,82,124.7,127.7,103.2,,56,,
144,Chris Warren,2TM,RB,32,14,1,0,0,0,0,0,74,296,4.00,2,43,32,303,9.47,1,3,2,3,,,78,105.9,113.9,89.9,,37,,
