,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,
106,Norm Bulaich,MIA,RB,31,14,7,0,0,0,0,0,91,416,4.57,4,25,180,7.20,0,3,,4,,,84,105.6,113.1,93.1,,43,,
107,Archie Griffin,CIN,RB,23,12,11,1,1,18,1,0,137,549,4.01,0,28,240,8.57,0,3,,0,,,84,108.6,116.1,94.6,,42,,
108,Horace King,DET,RB,24,14,13,0,0,0,0,0,155,521,3.36,1,40,238,5.95,0,2,,1,,,82,119.9,126.9,99.9,,44,,
109,Lonnie Perrin,DEN,RB,25,14,5,0,0,0,0,0,110,456,4.15,3,6,106,17.67,1,2,,4,,,80,84.2,91.2,81.2,,45,,
110,Brent McClanahan,MIN,RB,26,14,14,0,0,0,0,0,95,324,3.41,1,34,276,8.12,2,7,,3,,,78,105.0,114.5,88.0,,46,,
111,Fran Tarkenton,MIN,QB,37,9,9,155,258,1734,9,14,15,6,0.40,0,0,0,,0,3,,0,,,78,75.0,93.5,89.0,,20,,
112,Dexter Bussey,DET,RB,25,8,4,0,0,0,0,0,85,338,3.98,4,11,116,10.55,1,2,,5,,,75,84.4,91.4,78.9,,47,,
113,Tony Reed,KAN,RB,22,14,8,0,0,0,0,0,126,505,4.01,2,12,125,10.42,0,7,,2,,,75,80.0,89.5,74.0,,48,,
114,Joe Theismann,WAS,QB,28,14,6,84,182,1097,7,9,29,149,5.14,1,0,0,,0,0,,1,,,75,74.8,89.8,83.8,,21,,
115,Greg Landry,DET,QB,31,11,11,135,240,1359,6,7,25,99,3.96,0,0,0,,0,2,,0,,,74,72.3,83.3,79.3,,22,,
116,Don Woods,SDG,RB,26,14,14,0,1,0,0,0,118,405,3.43,1,18,218,12.11,1,2,,2,,,74,90.3,97.3,81.3,,49,,
117,Rob Lytle,DEN,RB,23,14,4,0,0,0,0,0,104,408,3.92,1,17,198,11.65,1,2,,2,,,73,87.6,94.6,79.1,,50,,
118,Mike Hogan,PHI,RB,23,12,12,0,0,0,0,0,155,546,3.52,0,19,118,6.21,1,6,,1,,,72,85.4,94.4,75.9,,51,,
119,Tom Sullivan,PHI,RB,27,14,13,0,0,0,0,0,125,363,2.90,0,26,223,8.58,2,2,,2,,,71,94.6,101.6,81.6,,52,,
120,O.J. Simpson,BUF,RB,30,7,7,0,1,0,0,0,126,557,4.42,0,16,138,8.63,0,2,,0,,,70,83.5,90.5,75.5,,53,,
121,Leroy Harris,MIA,RB,23,11,5,0,0,0,0,0,91,417,4.58,4,7,29,4.14,0,3,,4,,,69,72.6,77.1,69.1,,55,,
122,Roland Hooks,BUF,RB,24,14,7,0,0,0,0,0,128,497,3.88,0,16,195,12.19,0,8,,0,,,69,77.2,87.2,69.2,,54,,
123,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
124,Billy Kilmer,WAS,QB,38,8,8,99,201,1187,8,7,10,20,2.00,0,0,0,,0,4,,0,,,67,63.5,75.5,70.5,,23,,
125,Doug Kotar,NYG,RB,26,12,11,0,0,0,0,0,132,480,3.64,2,15,73,4.87,0,1,,2,,,67,81.3,84.8,73.8,,56,,
126,Frank Grant,WAS,WR,27,14,14,0,0,0,0,0,0,0,,0,34,480,14.12,3,0,,3,,,66,100.0,103.0,83.0,,31,,
127,Mark Bailey,KAN,RB,23,14,4,0,0,0,0,0,66,266,4.03,2,17,206,12.12,1,4,,3,,,65,78.2,86.2,69.7,,57,,
128,Jack Dolbin,DEN,WR,29,14,13,0,0,0,0,0,2,12,6.00,0,26,443,17.04,3,0,,3,,,64,89.5,92.5,76.5,,32,,
129,Stanley Morgan,NWE,WR,22,14,14,0,0,0,0,0,1,10,10.00,0,21,443,21.10,3,0,,3,,,63,84.3,87.3,73.8,,33,,
130,Tim Wilson,HOU,RB,23,10,5,0,0,0,0,0,99,343,3.46,3,20,107,5.35,0,1,,3,,,63,82.0,88.5,72.0,,58,,
131,James Harris,SDG,QB,30,9,9,109,211,1240,5,11,10,13,1.30,2,0,0,,0,4,,2,,,61,56.9,72.9,67.9,,24,,
132,Roland Harper,CHI,RB,24,11,10,0,2,0,0,0,120,457,3.81,0,19,142,7.47,0,1,,0,,,60,77.9,84.4,68.4,,59,,
133,Joe Pisarcik,NYG,QB,25,13,11,103,241,1346,4,14,27,57,2.11,2,0,0,,0,6,,2,,,60,53.5,73.5,67.5,,25,,
134,Jim Robinson,NYG,WR,24,14,14,0,0,0,0,0,0,0,,0,22,422,19.18,3,0,,3,,,60,82.2,85.2,71.2,,34,,
135,Ron Lee,BAL,RB,24,13,4,0,0,0,0,0,84,346,4.12,3,10,60,6.00,0,1,,3,,,59,67.6,71.1,62.6,,61,,
136,Brian Sipe,CLE,QB,28,9,9,112,195,1233,9,14,10,14,1.40,0,0,0,,0,4,,0,,,59,54.7,73.7,68.7,,26,,
137,Woody Thompson,ATL,RB,25,14,7,0,0,0,0,0,132,478,3.62,1,12,56,4.67,0,4,,1,,,59,67.4,72.4,61.4,,60,,
138,Ricky Bell,TAM,RB,22,11,10,0,0,0,0,0,148,436,2.95,1,11,88,8.00,0,4,,1,,,58,65.4,70.4,59.9,,62,,
139,Lenvil Elliott,CIN,RB,26,14,3,0,0,0,0,0,65,269,4.14,0,29,238,8.21,1,1,,1,,,57,84.7,91.2,70.2,,63,,
140,Larry Csonka,NYG,RB,31,14,13,0,0,0,0,0,134,464,3.46,1,2,20,10.00,0,0,,1,,,54,56.4,59.4,55.4,,64,,
141,Billy Joe DuPree*,DAL,TE,27,14,14,0,0,0,0,0,3,9,3.00,0,28,347,12.39,3,1,,3,,,54,80.6,84.1,66.6,,13,,
142,Pete Banaszak,OAK,RB,33,14,0,0,0,0,0,0,67,214,3.19,5,2,14,7.00,0,2,,5,,,53,52.8,56.8,51.8,,66,,
