Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 33,Year
Brad Johnson,MIN,QB,30.0,4.0,2.0,65.0,101.0,747.0,7.0,5.0,12.0,15.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,49.0,47.4,56.4,52.4,0.0,40.0,,1998
Steve Bono,STL,QB,36.0,6.0,2.0,69.0,136.0,807.0,5.0,4.0,10.0,13.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,48.0,41.6,51.6,45.6,0.0,41.0,,1998
Eric Green,BAL,TE,31.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,34.0,422.0,12.41,1.0,4.0,3.0,1.0,0.0,0.0,48.0,76.2,82.2,59.2,0.0,24.0,,1998
Michael Jackson,BAL,WR,29.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,38.0,477.0,12.55,0.0,1.0,,0.0,0.0,0.0,48.0,85.7,88.7,66.7,0.0,77.0,,1998
Pete Mitchell,JAX,TE,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,38.0,363.0,9.55,2.0,0.0,,2.0,0.0,0.0,48.0,86.3,89.3,67.3,0.0,23.0,,1998
James Allen,CHI,RB,23.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,58.0,270.0,4.66,1.0,14.0,8.0,77.0,9.63,1.0,1.0,,2.0,0.0,0.0,47.0,54.7,57.7,50.7,0.0,59.0,,1998
Keith Byars,NYJ,RB,35.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,34.0,8.5,0.0,40.0,26.0,258.0,9.92,3.0,0.0,,3.0,0.0,0.0,47.0,73.2,76.2,60.2,0.0,58.0,,1998
James McKnight,SEA,WR,26.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,21.0,346.0,16.48,2.0,0.0,,2.0,0.0,0.0,47.0,67.6,70.6,57.1,0.0,78.0,,1998
Jeff Blake,CIN,QB,28.0,8.0,2.0,51.0,93.0,739.0,3.0,3.0,15.0,103.0,6.87,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,46.0,45.9,54.9,48.9,0.0,42.0,,1998
Damon Gibson,CIN,WR,23.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,0.0,27.0,19.0,258.0,13.58,3.0,3.0,,4.0,0.0,0.0,45.0,69.7,72.7,60.2,0.0,80.0,,1998
Patrick Jeffers,DAL,WR,25.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,18.0,330.0,18.33,2.0,0.0,,2.0,0.0,0.0,45.0,63.0,66.0,54.0,0.0,79.0,,1998
Wade Wilson,OAK,QB,39.0,5.0,3.0,52.0,88.0,568.0,7.0,4.0,7.0,24.0,3.43,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,45.0,43.1,51.1,47.1,0.0,43.0,,1998
Brett Bech,NOR,WR,27.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,264.0,18.86,3.0,0.0,,3.0,0.0,0.0,44.0,58.4,61.4,51.4,0.0,81.0,,1998
Elvis Grbac,KAN,QB,28.0,8.0,6.0,98.0,188.0,1142.0,5.0,12.0,7.0,27.0,3.86,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,44.0,42.4,58.4,54.4,0.0,44.0,,1998
Anthony Johnson,CAR,RB,31.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,36.0,135.0,3.75,0.0,35.0,27.0,242.0,8.96,1.0,3.0,1.0,1.0,0.0,0.0,44.0,68.7,75.7,55.2,0.0,61.0,,1998
James Stewart,JAX,RB,27.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,53.0,217.0,4.09,2.0,8.0,6.0,42.0,7.0,1.0,2.0,1.0,3.0,0.0,0.0,44.0,47.9,51.9,44.9,0.0,60.0,,1998
Danny Wuerffel,NOR,QB,24.0,5.0,4.0,62.0,119.0,695.0,5.0,5.0,11.0,60.0,5.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,44.0,43.8,51.8,48.8,0.0,45.0,,1998
Frank Reich,DET,QB,37.0,6.0,2.0,63.0,110.0,768.0,5.0,4.0,6.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,43.0,41.0,49.0,45.0,0.0,46.0,,1998
Mark Carrier,CAR,WR,33.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,19.0,301.0,15.84,2.0,0.0,,2.0,0.0,0.0,42.0,61.1,64.1,51.6,0.0,82.0,,1998
Bob Christian,ATL,RB,30.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,8.0,21.0,2.63,2.0,28.0,19.0,214.0,11.26,1.0,1.0,1.0,3.0,0.0,0.0,42.0,58.5,62.5,49.0,0.0,63.0,,1998
Travis Jervey,GNB,RB,26.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,83.0,325.0,3.92,1.0,12.0,9.0,33.0,3.67,0.0,0.0,,1.0,0.0,0.0,42.0,50.8,53.8,46.3,0.0,62.0,,1998
Tony McGee,CIN,TE,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,22.0,363.0,16.5,1.0,0.0,,1.0,0.0,0.0,42.0,64.3,67.3,53.3,0.0,25.0,,1998
