Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 32,Year,Tgt
Henry Marshall,KAN,WR,29.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,788.0,15.76,6.0,0.0,,6.0,0.0,0.0,115.0,164.8,167.8,139.8,26.0,19.0,,1983,0.0
Charlie Joiner,SDG,WR,36.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,960.0,14.77,3.0,2.0,,3.0,0.0,0.0,114.0,177.0,181.0,144.5,25.0,20.0,,1983,0.0
Doug Marsh,STL,TE,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,421.0,13.16,8.0,1.0,,8.0,0.0,0.0,90.0,121.1,124.6,105.1,24.0,6.0,,1983,0.0
Pete Johnson,CIN,RB,29.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,210.0,763.0,3.63,14.0,15.0,129.0,8.6,0.0,2.0,,14.0,0.0,0.0,173.0,186.2,193.2,178.7,23.0,17.0,,1983,0.0
Ron Jaworski,PHI,QB,32.0,16.0,16.0,235.0,446.0,3315.0,20.0,18.0,25.0,129.0,5.16,1.0,0.0,0.0,0.0,0.0,11.0,,1.0,0.0,0.0,196.0,184.5,214.0,202.5,21.0,9.0,,1983,0.0
Franco Harris,PIT,RB,33.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,279.0,1007.0,3.61,5.0,34.0,278.0,8.18,2.0,10.0,,7.0,0.0,0.0,171.0,194.5,205.5,177.5,20.0,18.0,,1983,0.0
Gerry Ellis,GNB,RB,26.0,15.0,14.0,2.0,5.0,31.0,1.0,1.0,141.0,696.0,4.94,4.0,52.0,603.0,11.6,2.0,7.0,,6.0,0.0,0.0,169.0,214.1,224.6,189.1,19.0,19.0,,1983,0.0
Kevin House,TAM,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.0,-4.0,0.0,47.0,769.0,16.36,5.0,0.0,,5.0,0.0,0.0,107.0,153.5,156.5,130.0,18.0,21.0,,1983,0.0
Leonard Thompson,DET,WR,31.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,72.0,18.0,1.0,41.0,752.0,18.34,3.0,2.0,,4.0,0.0,0.0,106.0,145.4,149.4,124.9,18.0,22.0,,1983,0.0
Mike Barber,RAM,TE,30.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,657.0,11.95,3.0,1.0,,3.0,0.0,0.0,84.0,137.7,141.2,110.2,17.0,7.0,,1983,0.0
Art Monk,WAS,WR,26.0,12.0,11.0,1.0,1.0,46.0,0.0,0.0,3.0,-19.0,-6.33,0.0,47.0,746.0,15.87,5.0,0.0,,5.0,0.0,0.0,105.0,151.5,154.5,128.0,16.0,23.0,,1983,0.0
Ron Springs,DAL,RB,27.0,16.0,14.0,1.0,2.0,15.0,1.0,0.0,149.0,541.0,3.63,7.0,73.0,589.0,8.07,1.0,3.0,,8.0,0.0,0.0,166.0,235.6,243.1,199.1,15.0,20.0,,1983,0.0
Cliff Branch,RAI,WR,35.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,20.0,0.0,39.0,696.0,17.85,5.0,0.0,,5.0,0.0,0.0,102.0,140.6,143.6,121.1,13.0,24.0,,1983,0.0
Wayne Wilson,NOR,RB,26.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,199.0,787.0,3.95,9.0,20.0,178.0,8.9,2.0,6.0,,11.0,0.0,0.0,163.0,176.5,185.5,166.5,12.0,21.0,,1983,0.0
Emery Moorehead,CHI,TE,29.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,1.2,0.0,42.0,597.0,14.21,3.0,0.0,,3.0,0.0,0.0,78.0,120.3,123.3,99.3,12.0,8.0,,1983,0.0
Stanley Morgan,NWE,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,0.0,58.0,863.0,14.88,2.0,5.0,,2.0,0.0,0.0,100.0,152.6,158.1,123.6,11.0,25.0,,1983,0.0
Pat Tilley,STL,WR,30.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,690.0,15.68,5.0,1.0,,5.0,0.0,0.0,99.0,142.0,145.5,120.0,10.0,26.0,,1983,0.0
Lam Jones,NYJ,WR,25.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,2.5,0.0,43.0,734.0,17.07,4.0,2.0,,4.0,0.0,0.0,98.0,139.4,143.4,117.9,10.0,27.0,,1983,0.0
Hoby Brenner,NOR,TE,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,574.0,14.0,3.0,0.0,,3.0,0.0,0.0,75.0,116.4,119.4,95.9,9.0,9.0,,1983,0.0
Joe Washington,WAS,RB,30.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,145.0,772.0,5.32,0.0,47.0,454.0,9.66,6.0,2.0,,6.0,0.0,0.0,159.0,203.6,210.6,180.1,8.0,22.0,,1983,0.0
Joe Ferguson,BUF,QB,33.0,16.0,16.0,281.0,508.0,2995.0,26.0,25.0,20.0,88.0,4.4,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,183.0,179.6,209.1,204.6,8.0,10.0,,1983,0.0
Cliff Stoudt,PIT,QB,28.0,16.0,15.0,197.0,381.0,2553.0,12.0,21.0,77.0,479.0,6.22,4.0,0.0,0.0,0.0,0.0,10.0,,4.0,0.0,0.0,180.0,170.0,202.0,191.0,5.0,11.0,,1983,0.0
Ulysses Norris,DET,TE,26.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,291.0,11.19,7.0,0.0,,7.0,0.0,0.0,71.0,97.1,100.1,84.1,5.0,10.0,,1983,0.0
Derrick Ramsey,2TM,TE,27.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,335.0,13.96,6.0,0.0,,6.0,0.0,0.0,70.0,93.5,96.5,81.5,3.0,11.0,,1983,0.0
Nat Moore,MIA,WR,32.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,558.0,14.31,6.0,1.0,,6.0,0.0,0.0,92.0,129.8,133.3,110.3,3.0,28.0,,1983,0.0
